t-60,t-59,t-58,t-57,t-56,t-55,t-54,t-53,t-52,t-51,t-50,t-49,t-48,t-47,t-46,t-45,t-44,t-43,t-42,t-41,t-40,t-39,t-38,t-37,t-36,t-35,t-34,t-33,t-32,t-31,t-30,t-29,t-28,t-27,t-26,t-25,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,class,Y,delta_MCAR,norm,a,b,c,delta_NMAR
-4.145376425,-0.770140984,2.009946909,-2.692152358,2.044908653,-0.432222425,0.138120944,-0.729061935,1.508531769,2.737586122,2.188804132,-1.173397783,-0.5654034,1.023504421,-1.988738412,0.421128252,1.239042198,0.35774548,-0.525326047,2.263298289,0.36886194,0.826903304,0.036450625,1.093099463,-1.730046621,0.403449891,1.351601239,1.027211529,-0.802712722,0.215786604,0.735689666,0.819378499,0.86572737,-0.122612883,-0.210450598,-0.527246123,0.176682494,-0.317460851,1.574662743,1.672180956,-1.627549735,0.905608628,-0.379698673,-0.017328718,1.126323923,-2.073336312,1.294834373,-0.120918458,1.072291482,1.249143668,0.084507442,-0.489700962,0.033939348,-0.899071395,1.078399671,-0.321758898,-0.305810913,0.579414027,0.643851347,0.875415202,0,0,2,9.820908545,0,0.333333333,0.666666667,1
-0.749062935,0.943390794,-0.186911257,0.374531467,-0.932839356,0.564975709,2.996251739,-2.727274461,0.560751595,0.371746849,1.111110032,-0.549454388,0.552490069,-0.366300014,0,0,-0.183827735,0.920813855,0.364963154,0.727272034,1.263541013,2.317284038,-2.439022161,0.535718041,0.177615486,0,0.886528226,0,-0.527244455,-5.123674376,1.117317394,-2.02577643,-1.127818437,0.190109346,1.897531404,0.931102268,-0.553509398,-0.185524161,-0.371746849,-2.798509172,0,1.919383952,0.376647479,-0.375234169,0,4.708097979,-1.079135673,-0.363636017,-1.824815772,1.115240548,0.551465674,2.376601818,0.892860564,0.530968716,0.880285075,0.698079611,3.639515405,0,-0.501675748,2.689081166,0,0,3,12.00906768,0,0.333333333,0.666666667,1
4.929172945,1.062923351,0.773693641,-0.263917009,0.300697621,0.095936961,-0.317478598,0.661012451,0.36415774,-0.047586149,-0.589139654,0.251420629,0.298560934,-0.238134127,-0.84741503,0.120380508,0.522990734,0.20332277,-0.632607767,-0.228231161,0.258853809,0.690479661,-0.1788927,0.274794941,0.256161488,-0.243620191,0.690962812,-0.18338711,-0.189647409,-0.267203217,-0.125033761,0.160956347,-0.047614468,-0.345362524,0.125482023,-1.617238524,-0.564119817,0.030502687,-1.231850876,0.080260323,-3.627607969,1.133082989,0.050640482,-1.531063018,-1.394241954,-1.804915782,0.656937965,-0.626275254,-0.033171719,1.313952947,-0.209597216,-0.367583062,0.2503491,0.348293872,0.294693489,-0.404828692,-0.878513308,-0.489453986,-0.691255106,-1.285053291,0,0,2,7.953136795,0.666666667,0,0.333333333,3
1.152665862,-0.037992413,0.975306273,-0.61464859,-0.189324144,-1.036924223,0.306667336,-1.579615113,-1.320222941,-0.118043469,-0.144452539,-0.762758843,-0.596338396,1.453134658,0.275951496,-0.013097244,-0.013108959,-0.90444676,-0.039680926,1.945217979,-0.155766803,-0.988032404,-0.039399169,-0.394056789,0.804431749,-1.085821304,-0.753868126,0.839548568,-0.158576873,0.622096059,0,1.210215521,-0.012999917,-0.246980945,-0.899133218,-1.354380496,0.319922026,0.132870677,-0.849256083,-0.120454986,-0.696766263,-0.21590023,0.635566248,-1.061543852,-0.950695334,-0.246812429,0.137454947,1.866850568,-0.2829795,0.067571692,-0.985824884,1.718497192,1.501736511,-1.3342068,-2.155577129,1.683081139,-1.695592179,-1.327859247,-1.082129245,3.043475563,0,0,3,7.917525235,0.666666667,0,0.333333333,3
3.084022458,-0.659605628,0.166003113,1.692708627,-2.188342222,0.226112631,0.047495743,1.139329528,-1.290775004,1.806938414,1.015883644,-0.439261211,0.499245697,0.13863534,-0.496077877,-0.11594026,1.787580834,-0.786865574,0.724134774,0.821637845,-1.788343926,0.495563353,0.217892716,-0.25174645,0.481815048,-0.650758898,0.229837492,-0.080256471,-0.11474294,0.55140231,0.274189269,0.102545255,0.318687432,0,-0.294987676,0.056899241,0.580009251,0.214829044,-0.710817187,0.784093683,1.082420857,1.171216291,0.859985044,-0.557501222,0.241839307,-0.405749245,-1.112092204,0.256099948,-0.088851433,1.36727809,0.208350485,1.466408413,1.207932595,0.181165606,-0.244658389,0.234592902,0.744677605,-1.077082023,-1.056786785,0.075520221,0,0,3,7.118897505,0.666666667,0,0.333333333,1
1.590926851,-0.419137026,-0.510803096,1.292231892,-0.246796972,-0.862115053,-1.618289269,1.574661771,-0.290071172,0.18494722,0.119236345,1.446324355,-0.600197986,-1.211458999,0.177394501,-0.875759931,1.192234408,-0.257129368,0.757985795,1.844422961,2.354709589,1.851779936,-0.870385161,2.737506571,-0.23307968,0.513271899,-1.387571795,1.144606773,-0.155362559,-0.740872175,-0.146072413,-1.090019113,0.553727297,-0.450227317,-0.760377023,-1.145668371,0.837526656,3.837750059,-0.424499407,-0.664112299,-0.675655326,-0.994484357,1.172187744,-1.406368234,-2.196585113,0.545301852,-0.715159841,0.633286056,-1.277007516,-0.667263448,0.523515561,1.989808913,2.007717977,-0.557983666,-2.450160887,1.55362396,0.444388246,0.846768618,-1.81775286,0.811252736,0,0,1,9.830802228,0,0.333333333,0.666666667,2
-0.824221526,2.84073322,-1.028499814,-0.682896497,0.209266646,-1.073987486,-0.045233383,-0.482726943,-2.425342496,-1.55352458,0.646993616,1.034812911,-1.644943099,-1.656672798,0.802181911,0.079578602,-0.111322668,-0.191056749,0,-0.095705152,0.015964109,0.510855201,1.159465618,-0.847852273,-1.314333826,2.888323268,-1.044918832,0.819543659,0.062530741,0.874859459,-0.371686333,-0.683977039,1.909533937,0.153583894,-0.030664995,-1.840774226,-1.937805354,0,-0.382472794,1.087826465,-0.617185311,4.076435357,-0.076504056,1.117751316,1.453663039,-0.910448672,1.220059596,0.625008657,1.271813924,0.058401408,0,-0.379443257,0.571343946,-0.6117963,0.322429401,0.116876311,0.029190534,0.46681208,0.39203809,-0.723170385,0,0,2,9.048731778,0,0.333333333,0.666666667,1
0.032971411,0.065921087,-1.119895078,1.965356907,-0.588044108,0.657242371,-1.012077945,0.725597701,-0.523908808,-0.42791035,0.23140395,-1.38522454,0.16722791,1.035056621,-1.024452953,-0.801341143,0.976105434,0.100002289,-1.764904011,-1.796612497,0.276147482,-3.063681284,-0.568181279,0.35714422,1.423486168,-0.947370027,-1.416931013,-0.862377908,0.036245846,0,-0.217389366,-0.326797929,0.546446683,-0.905797089,-0.438759918,-2.276896593,-0.037580716,-0.375941278,-2.188678957,0.03858113,0.269956398,1.769227248,-2.456536814,3.75823805,-2.277821489,1.566678816,-3.12264833,-0.50485111,3.083524521,-1.552441688,3.692304171,-1.409492484,-1.316780972,3.316816067,0.036901213,-3.873113688,1.688413442,-1.018869652,-4.536784779,-1.996805039,0,0,3,13.1109001,0,0.333333333,0.666666667,1
-1.241154978,-1.303735751,3.843869337,1.008477231,0.363058426,0.316525867,-0.788817856,0.670145765,1.50062267,-0.533565732,6.347787318,-10.72930467,-1.259564136,0.953747112,2.208316887,1.941074808,-0.850050971,-1.748978452,-1.489236562,-1.405450381,0.0598891,-2.047167616,-1.735514757,-1.529854893,3.372487345,1.380748941,1.940461114,-2.069047011,-1.207292017,0.097765892,1.245265044,0.566744506,0.935250318,-0.178191406,-0.047603137,-0.809620577,-1.644454636,3.270686143,0.295438421,-1.425708784,-0.382509336,0.095994522,-2.049867085,1.040262494,-0.545054459,3.166482103,-1.617285753,-0.995913413,2.884495445,1.319357704,0.046507283,0.476462543,-0.717097795,1.14166286,-0.495277939,-1.423770964,-2.477689666,-2.624925015,-1.53333183,1.93394571,0,0,1,17.36576088,0,0,1,1
0.252152711,3.302691481,-8.628982323,-1.525869172,1.710584798,2.511637285,-0.41710625,3.648664284,0.425055491,-0.214611834,-0.439107826,3.861393971,1.698579928,1.525358847,-1.799010394,-2.259321604,-3.535826086,1.266129554,-0.528165743,-1.544920895,1.249230784,-0.962979779,-0.586445652,5.60564709,-1.062201767,-4.449447583,-0.315341139,-1.305282531,-2.424150738,-0.959946992,1.925619456,-2.347326542,-2.445809579,0.87550045,-8.218818003,-7.665303553,3.239198597,-5.129075604,5.960869497,7.255262494,6.544921802,-2.099965132,-3.220843476,5.192297298,-1.237288933,-2.276278959,2.128675888,-3.03988979,-1.208745962,1.967396717,2.294181125,-3.279124493,-2.367005013,0.031759304,-0.977206342,1.706511989,3.012461558,-0.061205347,2.048322442,0.410102832,0,0,3,25.22863405,0,0,1,1
